sitename,FeedURL,Category
新着ソフトレビュー - Vectorのデイリーフィード - DailyFeed,http://dailyfeed.jp/feed/5051.rss,IT
InfoQ,http://www.infoq.com/jp/rss/rss.action?token=pevz4gBq76yajjnnDdPjcL7fCRL9P12M,IT
@IT Test & Toolsフォーラム 最新記事一覧,https://rss.itmedia.co.jp/rss/2.0/ait_testtools.xml,IT
@IT Security&Trustフォーラム 最新記事一覧,https://rss.itmedia.co.jp/rss/2.0/ait_security.xml,IT
OSDN: Open Source Development Networkのデイリーフィード - DailyFeed,http://dailyfeed.jp/feed/5048.rss,IT
IT（情報技術） - 日経 xTECH（クロステック）,https://tech.nikkeibp.co.jp/rss/xtech-it.rdf,IT
@IT Master of IP Networkフォーラム 最新記事一覧,https://rss.itmedia.co.jp/rss/2.0/ait_network.xml,IT
PC Watchのデイリーフィード - DailyFeed,http://feeds.dailyfeed.jp/feed/s/21/482.rss,IT
@IT Database Expertフォーラム 最新記事一覧,https://rss.itmedia.co.jp/rss/2.0/ait_db.xml,IT
バズ部,https://bazubu.com/feed,IT
タグ「IT」を検索 - はてなブックマーク,http://b.hatena.ne.jp/search/tag?q=IT&users=50&mode=rss,IT
PCパーツまとめ,http://blog.livedoor.jp/bluejay01-review/index.rdf,IT
@IT Smart & Socialフォーラム 最新記事一覧,https://rss.itmedia.co.jp/rss/2.0/ait_smart.xml,IT
Linux.com Japan RSS,https://jp.linux.com/index.php?option=com_ninjarsssyndicator&feed_id=1&format=raw,IT
気になる、記になる…,https://taisy0.com/feed,IT
はてなブックマーク - 人気エントリー - テクノロジー,http://b.hatena.ne.jp/hotentry/it.rss,IT
VRDAフィード：脆弱性脅威分析用情報の定型データ配信のデイリーフィード - DailyFeed,http://dailyfeed.jp/feed/7245.rss,IT
マイナビニュース 企業IT,https://news.mynavi.jp/rss/business/enterprise.xml,IT
@IT 自分戦略研究所フォーラム 最新記事一覧,https://rss.itmedia.co.jp/rss/2.0/ait_jibun.xml,IT
ロボスタ,https://robotstart.info/feed,IT
Engadget Japaneseのデイリーフィード - DailyFeed,http://dailyfeed.jp/feed/154.rss,IT
マイナビニュース パソコン,https://news.mynavi.jp/rss/digital/pc.xml,IT
@IT System Designフォーラム 最新記事一覧,https://rss.itmedia.co.jp/rss/2.0/ait_systemdesign.xml,IT
@IT 全フォーラム 最新記事一覧,https://rss.itmedia.co.jp/rss/2.0/ait.xml,IT
ITmedia 総合記事一覧,https://rss.itmedia.co.jp/rss/2.0/itmedia_all.xml,IT
ビジネス+IT 最新ニュース,https://www.sbbit.jp/index2.rss,IT
SNSマーケティングの情報ならソーシャルメディアラボ【Gaiax】,https://gaiax-socialmedialab.jp/feed/,IT
MOONGIFT,http://feeds.feedburner.com/moongift,IT
いいモノ発見！フリーソフト,http://www.click-assist.com/blog/xml-rss2.php?blogid=1,IT
Techable（テッカブル）,http://techable.jp/feed,IT
カグア！Google Analytics 活用塾:事例や使い方,http://www.kagua.biz/feed,IT
WEBマーケティング ブログ,http://feeds.feedburner.com/web-marketing/feed,IT
TechAcademyマガジン,http://techacademy.jp/magazine/feed/,IT
Tech Wave,http://techwave.jp/index.rdf,IT
情報システムリーダーのためのIT情報専門サイト IT Leaders,http://it.impressbm.co.jp/list/feed/rss,IT
Google Mania - グーグルの便利な使い方,http://feeds.feedburner.com/google-mania/iLyZ,IT
Microsoft Azure Blog,https://azurecomcdn.azureedge.net/en-gb/blog/feed/,Azure
S/N Ratio (by SATO Naoki),https://satonaoki.wordpress.com/feed/,Azure
Cloud and Server Product Japan Blog,https://blogs.technet.microsoft.com/mssvrpmj/feed/,Azure
Windowsインフラ管理者への道,http://ebi.dyndns.biz/windowsadmin/feed/,Azure
AWS News Blog,https://aws.amazon.com/blogs/aws/feed,AWS
AWS Architecture Blog,https://aws.amazon.com/blogs/architecture/feed,AWS
AWS Partner Network (APN) Blog,https://aws.amazon.com/blogs/apn/feed,AWS
AWS Marketplace,https://aws.amazon.com/blogs/awsmarketplace/feed,AWS
AWS Big Data Blog,https://aws.amazon.com/blogs/big-data/feed,AWS
AWS Compute Blog,https://aws.amazon.com/blogs/compute/feed,AWS
AWS Database Blog,https://aws.amazon.com/blogs/database/feed,AWS
AWS Desktop and Application Streaming Blog,https://aws.amazon.com/blogs/desktop-and-application-streaming/feed,AWS
AWS Developer Blog,https://aws.amazon.com/blogs/developer/feed,AWS
AWS DevOps Blog,https://aws.amazon.com/blogs/devops/feed,AWS
AWS Cloud Enterprise Strategy Blog,https://aws.amazon.com/blogs/enterprise-strategy/feed,AWS
AWS Game Tech Blog,https://aws.amazon.com/blogs/gametech/feed,AWS
AWS The Internet of Things Blog,https://aws.amazon.com/blogs/iot/feed,AWS
AWS Machine Learning Blog,https://aws.amazon.com/blogs/machine-learning/feed,AWS
AWS Management Tools Blog,https://aws.amazon.com/blogs/mt/feed,AWS
AWS Media Blog,https://aws.amazon.com/blogs/media/feed,AWS
AWS Messaging and Targeting Blog,https://aws.amazon.com/blogs/messaging-and-targeting/feed,AWS
AWS Mobile Blog,https://aws.amazon.com/blogs/mobile/feed,AWS
AWS Networking and Content Delivery,https://aws.amazon.com/blogs/networking-and-content-delivery/feed,AWS
AWS Open Source Blog,https://aws.amazon.com/blogs/opensource/feed,AWS
"AWS Government, Education, and Nonprofits Blog",https://aws.amazon.com/blogs/publicsector/feed,AWS
AWS for SAP,https://aws.amazon.com/blogs/awsforsap/feed,AWS
AWS Security Blog,https://aws.amazon.com/blogs/security/feed,AWS
AWS Startups Blog,https://aws.amazon.com/blogs/startups/feed,AWS
AWS Japan Blog,https://aws.amazon.com/jp/blogs/news/feed,AWS
AWS Podcast,https://d3gih7jbfe3jlq.cloudfront.net/aws-podcast.rss,AWS
AWS,https://www.youtube.com/feeds/videos.xml?user=AmazonWebServices,AWS
AWS - Webinar Channel,https://www.youtube.com/feeds/videos.xml?user=AWSwebinars,AWS
AWS - Japan,https://www.youtube.com/feeds/videos.xml?user=AmazonWebServicesJP,AWS
Amazon Linux Security Center,https://alas.aws.amazon.com/alas.rss,AWS
Google Developer Japan Blog,http://feeds.feedburner.com/GoogleJapanDeveloperRelationsBlog,GCP
Google Cloud Platform Japan 公式ブログ,http://feeds.feedburner.com/GoogleCloudPlatformJapanBlog,GCP
Official Google Blog,http://googleblog.blogspot.com/atom.xml,GCP
Google Japan Blog,http://googlejapan.blogspot.com/feeds/posts/default,GCP
[全てのタグ]の新着質問一覧｜teratail（テラテイル）のデイリーフィード - DailyFeed,https://feeds.dailyfeed.jp/feed/s/22/928.rss,Program
POSTD,https://postd.cc/feed/,Program
@IT Linux＆OSSフォーラム 最新記事一覧,https://rss.itmedia.co.jp/rss/2.0/ait_linux.xml,Program
JavaScriptタグが付けられた新着投稿 - Qiita,https://qiita.com/tags/javascript/feed,Program
@IT Java Agileフォーラム 最新記事一覧,https://rss.itmedia.co.jp/rss/2.0/ait_java.xml,Program
ruby-langの最新ニュース,https://www.ruby-lang.org/ja/feeds/news.rss,Program
@IT Coding Edgeフォーラム 最新記事一覧,https://rss.itmedia.co.jp/rss/2.0/ait_coding.xml,Program
@IT HTML5 + UXフォーラム 最新記事一覧,https://rss.itmedia.co.jp/rss/2.0/ait_ux.xml,Program
コリス,https://coliss.com/feed/,Program
Pythonタグが付けられた新着投稿 - Qiitaのデイリーフィード - DailyFeed,https://feeds.dailyfeed.jp/feed/s/22/948.rss,Program
CodeZine,https://codezine.jp/rss/new/20/index.xml,Program
jsタグが付けられた新着投稿 - Qiitaのデイリーフィード - DailyFeed,https://feeds.dailyfeed.jp/feed/s/22/953.rss,Program
lambdaタグが付けられた新着投稿 - Qiita,https://qiita.com/tags/lambda/feed.atom,Program
Ubuntuタグが付けられた新着投稿 - Qiitaのデイリーフィード - DailyFeed,https://feeds.dailyfeed.jp/feed/s/22/952.rss,Program
AWSタグが付けられた新着投稿 - Qiita,https://qiita.com/tags/aws/feed,Program
dotHTML5,http://feeds.feedburner.com/dotHTML5?format=xml,Program
Rubyタグが付けられた新着投稿 - Qiitaのデイリーフィード - DailyFeed,https://feeds.dailyfeed.jp/feed/s/22/951.rss,Program
gcpタグが付けられた新着投稿 - Qiitaのデイリーフィード - DailyFeed,https://feeds.dailyfeed.jp/feed/s/22/944.rss,Program
CentOSタグが付けられた新着投稿 - Qiitaのデイリーフィード - DailyFeed,https://feeds.dailyfeed.jp/feed/s/22/943.rss,Program
Goタグが付けられた新着投稿 - Qiitaのデイリーフィード - DailyFeed,https://feeds.dailyfeed.jp/feed/s/22/950.rss,Program
dockerタグが付けられた新着投稿 - Qiitaのデイリーフィード - DailyFeed,https://feeds.dailyfeed.jp/feed/s/22/949.rss,Program
Azureタグが付けられた新着投稿 - Qiitaのデイリーフィード - DailyFeed,https://feeds.dailyfeed.jp/feed/s/22/945.rss,Program
Gitタグが付けられた新着投稿 - Qiitaのデイリーフィード - DailyFeed,https://feeds.dailyfeed.jp/feed/s/22/946.rss,Program
Railsタグが付けられた新着投稿 - Qiitaのデイリーフィード - DailyFeed,https://feeds.dailyfeed.jp/feed/s/22/947.rss,Program
JSer.info,http://jser.info/rss,Program
MonotaRO Tech Blog,https://tech-blog.monotaro.com/feed,技術系ブログ等
TECH BLOG,https://www.terrasky.co.jp/blog/feed.xml,技術系ブログ等
KAYAC engineers' blog,https://techblog.kayac.com/rss,技術系ブログ等
pixiv inside [archive],https://devpixiv.hatenablog.com/rss,技術系ブログ等
Mercari Engineering Blog,https://tech.mercari.com/feed,技術系ブログ等
Developers.IO,http://dev.classmethod.jp/feed/,技術系ブログ等
クックパッド開発者ブログ,http://techlife.cookpad.com/feed/,技術系ブログ等
漢(オトコ)のコンピュータ道,http://nippondanji.blogspot.com/feeds/posts/default,技術系ブログ等
サイバーエージェント 公式エンジニアブログ,http://feedblog.ameba.jp/rss/ameblo/principia-ca/rss20.xml,技術系ブログ等
Cisco セキュリティ エンジニアのブログ,https://learningnetwork.cisco.com/blogs/jp-security/feeds/posts,技術系ブログ等
mixi Engineers' Blog,http://alpha.mixi.co.jp/atom.xml,技術系ブログ等
Geekなぺーじ,http://www.geekpage.jp/rss.php,技術系ブログ等
情報考学 Passion For The Future,http://www.ringolab.com/note/daiya/atom.xml,技術系ブログ等
Hatena::Engineering,http://d.hatena.ne.jp/hatenatech/rss,技術系ブログ等
Technology of DeNA,http://engineer.dena.jp/atom.xml,技術系ブログ等
VOYAGE GROUP　エンジニアブログ,http://tech.voyagegroup.com/atom.xml,技術系ブログ等
404 Blog Not Found,http://blog.livedoor.jp/dankogai/index.rdf,技術系ブログ等
Yahoo! JAPAN Tech Blog,http://techblog.yahoo.co.jp/index.xml,技術系ブログ等
livedoor Techブログ,http://blog.livedoor.jp/techblog/atom.xml,技術系ブログ等
Ars Technica,http://feeds.arstechnica.com/arstechnica/index,海外TECH
MakeUseOf,http://feeds.feedburner.com/Makeuseof,海外TECH
DEV Communityのデイリーフィード - DailyFeed,https://feeds.dailyfeed.jp/feed/s/22/954.rss,海外TECH
AppleInsider - Frontpage News,http://appleinsider.com/rss/news/,海外TECH
Echo JS,http://www.echojs.com/rss,海外TECH
ReadWriteWeb,http://feeds.feedburner.com/readwriteweb,海外TECH
Engadget,http://www.engadget.com/rss.xml,海外TECH
The Apache Software Foundation Blog,https://blogs.apache.org/foundation/feed/entries/atom,海外TECH
Docker Blog,http://blog.docker.io/feed/,海外TECH
DailyJS,http://feeds.feedburner.com/dailyjs,海外TECH
Network World,http://www.networkworld.com/rss/netflash.xml,海外TECH
Raspberry Pi,http://www.raspberrypi.org/feed,海外TECH
Linux Journal,http://www.linuxjournal.com/node/feed,海外TECH
Java Code Geeks,http://feeds.feedburner.com/JavaCodeGeeks,海外TECH
AWS Security Blog,http://blogs.aws.amazon.com/security/blog/feed/recentPosts.rss,海外TECH
nginx news,http://nginx.org/index.rss,海外TECH
Cisco Blog,http://blogs.cisco.com/feed/,海外TECH
CodeProject Latest Articles,http://www.codeproject.com/webservices/articlerss.aspx?cat=1,海外TECH
OMG! Ubuntu!,http://feeds.feedburner.com/d0od,海外TECH
All Top News -- ScienceDaily,http://feeds.sciencedaily.com/sciencedaily/top_news/top_science,科学
NYT > Science,http://rss.nytimes.com/services/xml/rss/nyt/Science.xml,科学
